hour,pv_kw_per_kwp,ghi_kw_m2,temp_c
1,0.0000,0.0000,11.6110
2,0.0000,0.0000,10.9720
3,0.0000,0.0000,10.6580
4,0.0000,0.0000,10.5210
5,0.0000,0.0000,10.2590
6,0.0000,0.0000,9.8550
7,0.0000,0.0000,9.5170
8,0.0700,0.0960,10.0910
9,0.3300,0.3790,14.3810
10,0.5380,0.6440,18.1250
11,0.6770,0.8470,20.6980
12,0.7530,0.9740,22.5170
13,0.7780,1.0220,23.7560
14,0.7540,0.9880,24.4450
15,0.6770,0.8690,24.6240
16,0.5450,0.6750,24.3290
17,0.3580,0.4300,23.3460
18,0.0970,0.1290,20.0510
19,0.0000,0.0000,16.7650
20,0.0000,0.0000,15.5840
21,0.0000,0.0000,14.6250
22,0.0000,0.0000,14.1910
23,0.0000,0.0000,13.0450
24,0.0000,0.0000,12.2470
25,0.0000,0.0000,11.5210
26,0.0000,0.0000,10.8770
27,0.0000,0.0000,10.5990
28,0.0000,0.0000,10.0570
29,0.0000,0.0000,9.3960
30,0.0000,0.0000,9.2590
31,0.0000,0.0000,9.1780
32,0.0890,0.1140,10.0090
33,0.3470,0.3980,14.2180
34,0.5430,0.6470,17.5640
35,0.6750,0.8420,20.1610
36,0.7470,0.9620,21.9910
37,0.7510,0.9740,23.1150
38,0.6970,0.8930,23.6180
39,0.5920,0.7380,23.5900
40,0.4470,0.5410,23.1550
41,0.3150,0.3770,22.4110
42,0.1220,0.1550,19.6230
43,0.0000,0.0000,15.9920
44,0.0000,0.0000,15.2520
45,0.0000,0.0000,14.7430
46,0.0000,0.0000,14.3500
47,0.0000,0.0000,13.8020
48,0.0000,0.0000,12.8170
49,0.0000,0.0000,12.0450
50,0.0000,0.0000,11.4380
51,0.0000,0.0000,10.8590
52,0.0000,0.0000,10.3580
53,0.0000,0.0000,10.0540
54,0.0000,0.0000,9.8570
55,0.0000,0.0000,9.7680
56,0.0210,0.0420,10.3830
57,0.1730,0.2050,13.5510
58,0.3980,0.4630,16.6780
59,0.5690,0.6890,19.6050
60,0.6720,0.8460,21.8020
61,0.7230,0.9310,23.3330
62,0.7130,0.9200,24.1950
63,0.6420,0.8140,24.3970
64,0.5220,0.6430,24.0330
65,0.3280,0.3930,22.8600
66,0.0850,0.1150,19.4910
67,0.0000,0.0000,15.9120
68,0.0000,0.0000,15.6290
69,0.0000,0.0000,15.5820
